audio_path,reference_text,language
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M52\S30_M52_054.wav,"烏白講,紅線",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M57\S12_M57_177.wav,"鼻骨,歪去鼻仔,過敏",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F09\S18_F09_192.wav,"生存,開藥仔,節氣",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F02\S22_F02_079.wav,"漁場,底價,手法",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F47\S24_F47_297.wav,"人懶懶,上蓋儕,上丁",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M33\S20_M33_194.wav,"袂使,食啥物,物件,我欲聽,電台",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M64\S13_M64_125.wav,"工業路,長興街",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M09\S30_M09_040.wav,"問韓信,愛你到老",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F59\S20_F59_171.wav,"替我叫計程車,啥物,運動",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F55\S30_F55_209.wav,"多情兄,人生愛隨緣",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F41\S18_F41_030.wav,"頂腹會疼,放血,大熱",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M53\S30_M53_090.wav,"世間情,舞伴",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F43\S23_F43_010.wav,"狗公腰,出喙,大本營",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F52\S23_F52_087.wav,"查埔,過目,人望",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M10\S16_M10_177.wav,"針黹,上好,長城",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F52\S24_F52_105.wav,"二房,八珍,七美人",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F48\S16_F48_014.wav,"米斗,領錢,挖心肝",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F51\S27_F51_170.wav,"你的褲敢是刁工,穿甲落落的",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F14\S27_F14_177.wav,七分酒對三分水上拄好,nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M43\S20_M43_126.wav,"船頭,可愛,滿山,春色",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F44\S22_F44_292.wav,"行文,士官,鐵齒,銅牙槽",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F20\S22_F20_326.wav,"開基,炒作,歹積德",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F48\S12_F48_280.wav,"體內,豬哥牙",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M01\S16_M01_095.wav,"長裙,𩚨嗲嗲,厝瓦",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M09\S30_M09_070.wav,"破碎心嘛無人管,夢中做戇人",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F37\S20_F37_174.wav,"我想欲,叫車,通知,我",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F60\S20_F60_076.wav,你我情已盡愛你無彩工,nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M09\S30_M09_014.wav,"路頂的小姐,老婆",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M09\S30_M09_252.wav,"志明佮春嬌,堅強的女人",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M16\S18_M16_141.wav,"近視,加重,救治,暝日",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F42\S21_F42_209.wav,"頭頂,鱟桸,奮鬥",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M57\S24_M57_072.wav,"一等國民,八字骹,刀首",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M91\S39_M91_168.wav,"圓仔,鹹酸甜",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M32\S30_M32_066.wav,"漂浪的花,夢中的紅顏",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M58\S25_M58_181.wav,"囡仔,攏真愛食雞卵糕",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F04\S20_F04_094.wav,"三年,前的我最後,一封,信",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F60\S20_F60_015.wav,"春天,若會,遮爾,寒",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F53\S24_F53_007.wav,"一尾,二花,上等人",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F52\S28_F52_177.wav,"彼个小娘仔,真有我的緣",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M14\S16_M14_201.wav,"抹面,特殊,鄉土",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F42\S20_F42_190.wav,"袂使,食啥物,聽la-ji-oo",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F45\S19_F45_307.wav,"探望,神魂,空難",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M28\S20_M28_053.wav,"舊皮箱,流浪兒",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F04\S16_F04_054.wav,"酒甕,紅綵,落成",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M09\S30_M09_290.wav,"水中月圓,男人的愛",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F01\S17_F01_288.wav,"無步,原子筆,檢測",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M41\S20_M41_016.wav,"水潑,落地,歹收回",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F09\S25_F09_053.wav,"無人,知影,伊按呢,做是有啥物,用意",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M04\S30_M04_090.wav,"世間情,舞伴",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F02\S05_F02_021.wav,"佳里,金唐殿",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F52\S28_F52_207.wav,"你去提寡紙坯,來做紙盒仔",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M43\S20_M43_005.wav,"無情,人請你離開",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F37\S20_F37_152.wav,"廣東花,桃花鄉,酒家女",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M14\S23_M14_036.wav,"豬狗精牲,起呸面,查埔囡仔",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F45\S14_F45_238.wav,"油飯,油蔥",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M24\S20_M24_168.wav,"我欲坐計程車,盡量,袂使,食啥物",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F54\S20_F54_187.wav,"作伙,驗血糖,的時間",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M13\S20_M13_181.wav,"我想欲,坐計程車,回診,的時間",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M29\S30_M29_216.wav,"再會啦,愈行愈勇",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F02\S23_F02_174.wav,"拳頭拇,世家,大牌",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F38\S20_F38_041.wav,"感情,債上歹,還",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M53\S30_M53_147.wav,"想著你就心酸酸,何時再見夢中人",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M43\S20_M43_121.wav,"花若離枝,浪子,回頭",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F26\S05_F26_035.wav,"蘇厝,真護宮",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M43\S20_M43_077.wav,"愈想愈激心,朋友,愛互相",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F42\S15_F42_050.wav,"總計,臭汗酸,",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F29\S16_F29_216.wav,"彩妝,齊備,繁華",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F23\S18_F23_230.wav,"翕死,預產期,民國",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M62\S13_M62_007.wav,"金山南路,松江路",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F38\S18_F38_325.wav,"月內風,體質,頂半暝",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F41\S21_F41_333.wav,"雞仔囝,百日紅,同治",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F07\S11_F07_184.wav,"長興街,長泰街",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F07\S05_F07_124.wav,"臺灣府,城隍廟",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M10\S16_M10_160.wav,"線頭,不等,紗窗",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F56\S20_F56_120.wav,"難過情關,風吹,風吹",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M09\S30_M09_129.wav,"傷過心的人,巷仔口",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F59\S20_F59_214.wav,"愛注意,啥物,代誌,我愛唱,台語歌",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M07\S37_M07_174.wav,"夢中的彩虹,夜半暝,男子漢",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M29\S20_M29_186.wav,"作伙,磅體重,的時間",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F42\S23_F42_242.wav,"表示,國府,先覺",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_F51\S27_F51_160.wav,"提量仔,來量看豬仔,有偌重",nan
E:\data\22k_corpus\tw\corpus\148_kaldi_tw_corpus_300_corpus\kaldi_tw_M04\S20_M04_021.wav,"飛佇風中,的小雨",nan
