audio_path,reference_text,language,condition,speaker,gender,sentence_id
../acp_drp/C5_acp/male/acp_001.wav,我想要簽預立醫療決定。,zh-tw,C5,classmate_a,male,001
../acp_drp/C5_acp/male/acp_002.wav,如果到了末期，我不要插管急救。,zh-tw,C5,classmate_a,male,002
../acp_drp/C5_acp/male/acp_003.wav,心肺復甦術是什麼意思？,zh-tw,C5,classmate_a,male,003
../acp_drp/C5_acp/male/acp_004.wav,我想跟家人討論安寧緩和醫療。,zh-tw,C5,classmate_a,male,004
../acp_drp/C5_acp/male/acp_005.wav,醫療委任代理人可以幫我做什麼決定？,zh-tw,C5,classmate_a,male,005
../acp_drp/C5_acp/male/acp_006.wav,我還在考慮要不要簽 DNR。,zh-tw,C5,classmate_a,male,006
../acp_drp/C5_acp/male/acp_007.wav,洗腎跟鼻胃管我都不想要。,zh-tw,C5,classmate_a,male,007
../acp_drp/C5_acp/male/acp_008.wav,預立醫療照護諮商要去哪裡預約？,zh-tw,C5,classmate_a,male,008
../acp_drp/C5_acp/male/acp_009.wav,我希望最後能在家裡善終。,zh-tw,C5,classmate_a,male,009
../acp_drp/C5_acp/male/acp_010.wav,這份意願書簽了以後可以改嗎？,zh-tw,C5,classmate_a,male,010
../acp_drp/C5_acp/male/acp_011.wav,病人自主權利法保障我們自己做醫療決定。,zh-tw,C5,classmate_a,male,011
../acp_drp/C5_acp/male/acp_012.wav,如果心跳停了，你們還會幫我做 CPR 嗎？,zh-tw,C5,classmate_a,male,012
../acp_drp/C5_acp/male/acp_013.wav,我同意接受緩和醫療，但不要侵入性治療。,zh-tw,C5,classmate_a,male,013
../acp_drp/C5_acp/male/acp_014.wav,臨終的時候我希望有家人在身邊。,zh-tw,C5,classmate_a,male,014
../acp_drp/C5_acp/male/acp_015.wav,我想拒絕維生醫療，只接受舒適照護。,zh-tw,C5,classmate_a,male,015
../acp_drp/C5_acp/male/acp_016.wav,氣切跟插管哪一個比較痛苦？,zh-tw,C5,classmate_a,male,016
../acp_drp/C5_acp/male/acp_017.wav,我已經跟兒子討論過我的醫療意願了。,zh-tw,C5,classmate_a,male,017
../acp_drp/C5_acp/male/acp_018.wav,末期病人可以選擇居家安寧嗎？,zh-tw,C5,classmate_a,male,018
../acp_drp/C5_acp/male/acp_019.wav,如果需要輸血，我願意接受。,zh-tw,C5,classmate_a,male,019
../acp_drp/C5_acp/male/acp_020.wav,抗生素如果沒有效果，可以不要再用嗎？,zh-tw,C5,classmate_a,male,020
../acp_drp/C5_acp/male/acp_021.wav,葉克膜對我這個年紀的人還適合嗎？,zh-tw,C5,classmate_a,male,021
../acp_drp/C5_acp/male/acp_022.wav,我想預先說明，不要心肺復甦術。,zh-tw,C5,classmate_a,male,022
../acp_drp/C5_acp/male/acp_023.wav,醫療委任代理人要怎麼選？,zh-tw,C5,classmate_a,male,023
../acp_drp/C5_acp/male/acp_024.wav,安寧緩和跟放棄治療是不一樣的對嗎？,zh-tw,C5,classmate_a,male,024
../acp_drp/C5_acp/male/acp_025.wav,簽署預立醫療決定需要見證人嗎？,zh-tw,C5,classmate_a,male,025
../acp_drp/C5_acp/male/acp_026.wav,如果我昏迷了，誰可以替我做決定？,zh-tw,C5,classmate_a,male,026
../acp_drp/C5_acp/male/acp_027.wav,我不想要鼻胃管，但喝水可以嗎？,zh-tw,C5,classmate_a,male,027
../acp_drp/C5_acp/male/acp_028.wav,洗腎做久了身體會不會更累？,zh-tw,C5,classmate_a,male,028
../acp_drp/C5_acp/male/acp_029.wav,我想了解預立醫療照護諮商的流程。,zh-tw,C5,classmate_a,male,029
../acp_drp/C5_acp/male/acp_030.wav,家人意見跟我的意願不一樣怎麼辦？,zh-tw,C5,classmate_a,male,030
../acp_drp/C5_acp/male/acp_031.wav,到了臨終階段，我希望能待在自己房間。,zh-tw,C5,classmate_a,male,031
../acp_drp/C5_acp/male/acp_032.wav,我同意簽這份意願書。,zh-tw,C5,classmate_a,male,032
../acp_drp/C5_acp/male/acp_033.wav,急救之後如果變成植物人，我不要。,zh-tw,C5,classmate_a,male,033
../acp_drp/C5_acp/male/acp_034.wav,緩和醫療可以減輕疼痛嗎？,zh-tw,C5,classmate_a,male,034
../acp_drp/C5_acp/male/acp_035.wav,我想把醫療決定權交給我的配偶。,zh-tw,C5,classmate_a,male,035
../acp_drp/C5_acp/male/acp_036.wav,插管之後還有機會拔掉自己呼吸嗎？,zh-tw,C5,classmate_a,male,036
../acp_drp/C5_acp/male/acp_037.wav,末期癌症可以做安寧緩和嗎？,zh-tw,C5,classmate_a,male,037
../acp_drp/C5_acp/male/acp_038.wav,我拒絕氣切，但願意使用氧氣。,zh-tw,C5,classmate_a,male,038
../acp_drp/C5_acp/male/acp_039.wav,預立醫療決定跟遺囑有什麼不同？,zh-tw,C5,classmate_a,male,039
../acp_drp/C5_acp/male/acp_040.wav,我想跟醫師討論 DNR 的細節。,zh-tw,C5,classmate_a,male,040
../acp_drp/C5_acp/male/acp_041.wav,如果病情惡化，我選擇舒適照護。,zh-tw,C5,classmate_a,male,041
../acp_drp/C5_acp/male/acp_042.wav,維生醫療包括哪些項目？,zh-tw,C5,classmate_a,male,042
../acp_drp/C5_acp/male/acp_043.wav,我希望在家裡走完最後一程。,zh-tw,C5,classmate_a,male,043
../acp_drp/C5_acp/male/acp_044.wav,病人自主權利法什麼時候開始實施的？,zh-tw,C5,classmate_a,male,044
../acp_drp/C5_acp/male/acp_045.wav,我願意接受輸血，但不接受洗腎。,zh-tw,C5,classmate_a,male,045
../acp_drp/C5_acp/male/acp_046.wav,抗生素用太多會不會有副作用？,zh-tw,C5,classmate_a,male,046
../acp_drp/C5_acp/male/acp_047.wav,我想放棄無效的急救措施。,zh-tw,C5,classmate_a,male,047
../acp_drp/C5_acp/male/acp_048.wav,醫療委任代理人可以同時有兩個人嗎？,zh-tw,C5,classmate_a,male,048
../acp_drp/C5_acp/male/acp_049.wav,簽了預立醫療決定，醫院會遵守嗎？,zh-tw,C5,classmate_a,male,049
../acp_drp/C5_acp/male/acp_050.wav,我想跟全家人一起討論我的末期照護計畫。,zh-tw,C5,classmate_a,male,050
../acp_drp/C5_acp/female/acp_001.wav,我想要簽預立醫療決定。,zh-tw,C5,classmate_b,female,001
../acp_drp/C5_acp/female/acp_002.wav,如果到了末期，我不要插管急救。,zh-tw,C5,classmate_b,female,002
../acp_drp/C5_acp/female/acp_003.wav,心肺復甦術是什麼意思？,zh-tw,C5,classmate_b,female,003
../acp_drp/C5_acp/female/acp_004.wav,我想跟家人討論安寧緩和醫療。,zh-tw,C5,classmate_b,female,004
../acp_drp/C5_acp/female/acp_005.wav,醫療委任代理人可以幫我做什麼決定？,zh-tw,C5,classmate_b,female,005
../acp_drp/C5_acp/female/acp_006.wav,我還在考慮要不要簽 DNR。,zh-tw,C5,classmate_b,female,006
../acp_drp/C5_acp/female/acp_007.wav,洗腎跟鼻胃管我都不想要。,zh-tw,C5,classmate_b,female,007
../acp_drp/C5_acp/female/acp_008.wav,預立醫療照護諮商要去哪裡預約？,zh-tw,C5,classmate_b,female,008
../acp_drp/C5_acp/female/acp_009.wav,我希望最後能在家裡善終。,zh-tw,C5,classmate_b,female,009
../acp_drp/C5_acp/female/acp_010.wav,這份意願書簽了以後可以改嗎？,zh-tw,C5,classmate_b,female,010
../acp_drp/C5_acp/female/acp_011.wav,病人自主權利法保障我們自己做醫療決定。,zh-tw,C5,classmate_b,female,011
../acp_drp/C5_acp/female/acp_012.wav,如果心跳停了，你們還會幫我做 CPR 嗎？,zh-tw,C5,classmate_b,female,012
../acp_drp/C5_acp/female/acp_013.wav,我同意接受緩和醫療，但不要侵入性治療。,zh-tw,C5,classmate_b,female,013
../acp_drp/C5_acp/female/acp_014.wav,臨終的時候我希望有家人在身邊。,zh-tw,C5,classmate_b,female,014
../acp_drp/C5_acp/female/acp_015.wav,我想拒絕維生醫療，只接受舒適照護。,zh-tw,C5,classmate_b,female,015
../acp_drp/C5_acp/female/acp_016.wav,氣切跟插管哪一個比較痛苦？,zh-tw,C5,classmate_b,female,016
../acp_drp/C5_acp/female/acp_017.wav,我已經跟兒子討論過我的醫療意願了。,zh-tw,C5,classmate_b,female,017
../acp_drp/C5_acp/female/acp_018.wav,末期病人可以選擇居家安寧嗎？,zh-tw,C5,classmate_b,female,018
../acp_drp/C5_acp/female/acp_019.wav,如果需要輸血，我願意接受。,zh-tw,C5,classmate_b,female,019
../acp_drp/C5_acp/female/acp_020.wav,抗生素如果沒有效果，可以不要再用嗎？,zh-tw,C5,classmate_b,female,020
