audio_path,reference_text,language
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3708.wav,負責任你們怎麼樣,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10005.wav,或是智力測試表現較差,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12974.wav,帶來更幸福的生活嗎,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_300.wav,然後怎麼樣回來什麼什麼,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_13388.wav,就等於將一根超大的釘子,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_11823.wav,不斷循環下去,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3279.wav,事情是不是我真的很熱愛的事情,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_13011.wav,路徑出現偏折,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5770.wav,這東西就存在在他們的系統當中,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4481.wav,像品酒一樣聞聞香,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_940.wav,精神有變得比較好,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8557.wav,怎麼在運作,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6238.wav,兩小無猜,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_38.wav,真的是非常非常開心,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10553.wav,養殖黑水虻所需要使用的土地面積跟用水,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5616.wav,也是因為,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2851.wav,我今天教了一個主題,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_8290.wav,是人或者事物,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1018.wav,你真的就是跟,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5251.wav,他們就說,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7777.wav,這個不用靠藝術也可以完成的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6949.wav,可是在中國史來講,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_14331.wav,我們現在在外面租房子住,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2021.wav,確實這幾年有一些人會覺得我好像,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_6334.wav,趁虛而入,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_4258.wav,對全世界其實很多啦,zh-tw
